tatripid,tmstmp,typ,stpnm,stpid,vid,dstp,rt,rtdd,rtdir,des,prdtm,tablockid,origtatripno,dly,dyn,prdctdn,zone,psgld,stst,stsd
209327,20210911 19:59,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 20:00,4802OXM,209327,False,0,DUE,,,72000,2021-09-11
209331,20210911 19:49,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 19:50,4303NWL,209331,False,0,DUE,,,71400,2021-09-11
209335,20210911 19:39,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 19:40,4802OXM,209335,False,0,DUE,,,70800,2021-09-11
209339,20210911 19:29,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 19:30,4303NWL,209339,False,0,DUE,,,70200,2021-09-11
209343,20210911 19:19,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 19:20,4404CC,209343,False,0,DUE,,,69600,2021-09-11
209347,20210911 19:09,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 19:10,4303NWL,209347,False,0,DUE,,,69000,2021-09-11
209351,20210911 18:59,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 19:00,4404CC,209351,False,0,DUE,,,68400,2021-09-11
209354,20210911 18:54,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 18:55,4412CC,209354,False,0,DUE,,,68100,2021-09-11
209358,20210911 18:49,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 18:50,4202BBL,209358,False,0,DUE,,,67800,2021-09-11
209361,20210911 18:44,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 18:45,4411CC,209361,False,0,DUE,,,67500,2021-09-11
209365,20210911 18:39,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 18:40,4404CC,209365,False,0,DUE,,,67200,2021-09-11
209368,20210911 18:34,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 18:35,4412CC,209368,False,0,DUE,,,66900,2021-09-11
209372,20210911 18:29,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 18:30,4202BBL,209372,False,0,DUE,,,66600,2021-09-11
209375,20210911 18:24,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 18:25,4411CC,209375,False,0,DUE,,,66300,2021-09-11
209379,20210911 18:19,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 18:20,4404CC,209379,False,0,DUE,,,66000,2021-09-11
209382,20210911 18:14,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 18:15,4412CC,209382,False,0,DUE,,,65700,2021-09-11
209386,20210911 18:09,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 18:10,4407CC,209386,False,0,DUE,,,65400,2021-09-11
209389,20210911 18:04,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 18:05,4411CC,209389,False,0,DUE,,,65100,2021-09-11
209393,20210911 17:59,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 18:00,4404CC,209393,False,0,DUE,,,64800,2021-09-11
209396,20210911 17:54,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 17:55,4412CC,209396,False,0,DUE,,,64500,2021-09-11
209400,20210911 17:49,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 17:50,4407CC,209400,False,0,DUE,,,64200,2021-09-11
209403,20210911 17:44,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 17:45,4411CC,209403,False,0,DUE,,,63900,2021-09-11
209407,20210911 17:39,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 17:40,4405CC,209407,False,0,DUE,,,63600,2021-09-11
209411,20210911 17:29,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 17:30,4407CC,209411,False,0,DUE,,,63000,2021-09-11
209414,20210911 17:24,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 17:25,4411CC,209414,False,0,DUE,,,62700,2021-09-11
209418,20210911 17:19,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 17:20,4405CC,209418,False,0,DUE,,,62400,2021-09-11
209421,20210911 17:14,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 17:15,4412CC,209421,False,0,DUE,,,62100,2021-09-11
209425,20210911 17:09,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 17:10,4407CC,209425,False,0,DUE,,,61800,2021-09-11
209429,20210911 16:59,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 17:00,4405CC,209429,False,0,DUE,,,61200,2021-09-11
209432,20210911 16:54,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 16:55,4412CC,209432,False,0,DUE,,,60900,2021-09-11
209436,20210911 16:49,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 16:50,4407CC,209436,False,0,DUE,,,60600,2021-09-11
209439,20210911 16:44,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 16:45,4411CC,209439,False,0,DUE,,,60300,2021-09-11
209443,20210911 16:39,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 16:40,4406CC,209443,False,0,DUE,,,60000,2021-09-11
209446,20210911 16:34,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 16:35,4412CC,209446,False,0,DUE,,,59700,2021-09-11
209450,20210911 16:29,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 16:30,4407CC,209450,False,0,DUE,,,59400,2021-09-11
209453,20210911 16:24,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 16:25,4411CC,209453,False,0,DUE,,,59100,2021-09-11
209457,20210911 16:19,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 16:20,4405CC,209457,False,0,DUE,,,58800,2021-09-11
209460,20210911 16:14,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 16:15,4412CC,209460,False,0,DUE,,,58500,2021-09-11
209464,20210911 16:09,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 16:10,4407CC,209464,False,0,DUE,,,58200,2021-09-11
209467,20210911 16:04,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 16:05,4411CC,209467,False,0,DUE,,,57900,2021-09-11
209471,20210911 15:59,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 16:00,4405CC,209471,False,0,DUE,,,57600,2021-09-11
209474,20210911 15:54,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 15:55,4412CC,209474,False,0,DUE,,,57300,2021-09-11
209478,20210911 15:49,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 15:50,4406CC,209478,False,0,DUE,,,57000,2021-09-11
209481,20210911 15:44,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 15:45,4411CC,209481,False,0,DUE,,,56700,2021-09-11
209485,20210911 15:39,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 15:40,4405CC,209485,False,0,DUE,,,56400,2021-09-11
209489,20210911 15:29,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 15:30,4406CC,209489,False,0,DUE,,,55800,2021-09-11
209492,20210911 15:24,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 15:25,4411CC,209492,False,0,DUE,,,55500,2021-09-11
209496,20210911 15:19,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 15:20,4405CC,209496,False,0,DUE,,,55200,2021-09-11
209499,20210911 15:14,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 15:15,4412CC,209499,False,0,DUE,,,54900,2021-09-11
209503,20210911 15:09,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 15:10,4301NWL,209503,False,0,DUE,,,54600,2021-09-11
209507,20210911 14:59,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 15:00,4401CC,209507,False,0,DUE,,,54000,2021-09-11
209510,20210911 14:54,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 14:55,4412CC,209510,False,0,DUE,,,53700,2021-09-11
209514,20210911 14:49,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 14:50,4301NWL,209514,False,0,DUE,,,53400,2021-09-11
209517,20210911 14:44,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 14:45,4411CC,209517,False,0,DUE,,,53100,2021-09-11
209521,20210911 14:39,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 14:40,4401CC,209521,False,0,DUE,,,52800,2021-09-11
209524,20210911 14:34,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 14:35,4412CC,209524,False,0,DUE,,,52500,2021-09-11
209528,20210911 14:29,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 14:30,4404CC,209528,False,0,DUE,,,52200,2021-09-11
209531,20210911 14:24,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 14:25,4411CC,209531,False,0,DUE,,,51900,2021-09-11
209535,20210911 14:19,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 14:20,4401CC,209535,False,0,DUE,,,51600,2021-09-11
209538,20210911 14:14,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 14:15,4412CC,209538,False,0,DUE,,,51300,2021-09-11
209542,20210911 14:09,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 14:10,4404CC,209542,False,0,DUE,,,51000,2021-09-11
